Tide2,Tide ,Date,TimeDay,Test,Fish.No,Flip_time_rel_min,Flip_temp_degC,Length_mm,Mass_g,Start_temp,Tide feet,Trip
High-high,Incoming,2021-07-05,15:30:00,CTmin,1,71.18,8,30,0.252,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,2,72,7.8,22,0.131,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,3,73.25,7.8,20,0.076,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,5,74.02,7.8,24,0.139,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,6,74.3,7.9,24,0.128,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,7,75.08,7.9,24,0.137,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,9,76.48,7.8,24,0.133,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,10,77.09,7.8,20,0.068,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,11,77.28,7.7,24,0.15,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,12,78.04,7.7,25,0.143,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,13,78.1,7.7,25,0.159,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,14,78.21,7.6,25,0.159,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,19,79.35,7.3,28,0.249,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,20,79.35,7.3,26,0.188,29.2,3.5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,1,59.16,39.4,28,0.185,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,2,60,39.4,24,0.169,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,3,60.1,39.6,32,0.391,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,4,60.18,39.5,24,0.136,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,5,60.49,39.5,28,0.236,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,6,60.58,39.5,26,0.211,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,7,60.58,39.7,30,0.232,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,8,61.3,39.7,26,0.218,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,9,61.3,39.8,24,0.149,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,10,61.3,39.8,28,0.226,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,11,61.3,39.8,26,0.182,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,12,61.3,39.8,31,0.298,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,13,61.3,39.8,25,0.166,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,14,61.3,39.8,23,0.115,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,15,61.3,39.8,32,0.29,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,16,61.3,39.8,25,0.19,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,17,61.3,39.8,26,0.196,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,18,61.3,39.8,24,0.143,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,19,61.3,39.8,20,0.1,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,20,61.3,39.8,25,0.178,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,21,61.3,39.8,24,0.14,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,22,61.3,39.8,21,0.096,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,23,61.3,39.8,23,0.163,22.4,5,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,1,49,16.5,20,0.053,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,2,72,10.4,16,0.035,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,3,75.18,9.5,19,0.065,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,4,77.19,9,18,0.06,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,5,77.58,8.8,18,0.048,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,6,80.22,8.2,18,0.055,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,7,82.42,7.8,17,0.044,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,8,83.02,7.8,23,0.112,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,9,83.31,7.8,27,0.17,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,10,83.59,7.8,20,0.067,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,11,84.12,7.8,20,0.076,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,12,84.12,7.8,24,0.134,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,13,84.26,7.7,21,0.09,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,14,84.44,7.7,20,0.081,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,15,85.07,7.6,22,0.093,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,16,85.3,7.5,19,0.08,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,17,85.57,7.5,22,0.093,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,18,85.57,7.5,18,0.05,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,19,86.35,7.4,19,0.064,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,20,87.33,7,22,0.122,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,21,87.49,7,25,0.136,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,22,88.48,7,28,0.222,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,23,89,7,29,0.259,32.2,2.8,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,1,17.03,33.6,19,0.047,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,2,17.43,33.8,17,0.041,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,3,20.14,34.3,15,0.034,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,4,21.37,24.9,16,0.041,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,5,23.46,35.5,17,0.042,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,6,24.3,35.8,19,0.078,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,7,27.11,36.6,16,0.046,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,8,27.29,36.8,26,0.143,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,9,28.32,37.3,29,0.212,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,10,29.23,37.5,25,0.139,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,11,29.37,37.6,22,0.102,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,12,29.53,37.7,22,0.105,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,13,29.53,37.7,18,0.062,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,14,29.53,37.7,20,0.104,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,15,29.53,37.7,23,0.151,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,16,34.15,37.7,19,0.083,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,17,34.27,37.7,20,0.086,29.4,2.7,1
Medium,Outgoing,2021-07-09,15:30:00,CTmax,18,34.5,37.7,23,0.106,29.4,2.7,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,1,35.4,38.2,26,0.193,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,2,36.22,38.4,20,0.064,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,3,37.1,38.7,25,0.145,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,4,37.1,38.7,21,0.112,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,5,37.1,38.7,20,0.09,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,6,37.1,38.7,18,0.234,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,7,37.53,39,18,0.057,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,8,37.53,39,22,0.1,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,9,37.53,39,18,0.074,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,10,37.53,39,18,0.154,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,11,37.53,39,22,0.108,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,12,37.53,39,18,0.065,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,13,37.53,39,21,0.114,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,14,37.53,39,16,0.171,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,15,37.53,39,20,0.079,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,16,37.53,39,26,0.166,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,17,37.53,39,16,0.111,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,18,37.53,39,22,0.107,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,19,37.53,39,17,0.065,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,20,38.52,39.2,22,0.127,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,21,38.52,39.2,22,0.107,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,22,38.52,39.2,21,0.1,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,23,38.52,39.2,18,0.055,32.2,3,1
Medium,Outgoing,2021-07-11,14:45:00,CTmax,24,38.52,39.2,21,0.09,32.2,3,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,1,84,6.9,16,0.043,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,2,84.6,6.7,14,0.046,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,3,84.48,6.7,15,0.028,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,4,85.17,6.5,16,0.044,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,5,86.12,6.3,16,0.053,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,6,86.42,6.1,17,0.058,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,7,86.42,6.1,18,0.055,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,8,87.17,6,19,0.074,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,9,87.45,5.9,16,0.049,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,10,88,5.8,26,0.155,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,11,88.49,5.6,19,0.074,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,12,88.49,5.6,18,0.06,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,13,88.49,5.6,17,0.05,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,14,89.22,5.6,18,0.064,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,15,89.41,5.5,18,0.059,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,16,90.17,5.4,20,0.084,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,17,90.32,5.3,22,0.122,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,18,91.02,5.2,19,0.073,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,19,91.23,5.1,26,0.184,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,20,92.15,5,25,0.179,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,21,92.15,5,17,0.053,30.3,2.7,1
Medium,Outgoing,2021-07-11,16:00:00,CTmin,22,92.52,4.9,28,0.245,30.3,2.7,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,1,65.1,37.9,27,0.203,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,2,70.19,38.4,23,0.139,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,3,70.35,38.5,24,0.135,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,4,70.35,38.5,30,0.245,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,5,71.15,38.7,18,0.061,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,6,71.15,38.7,19,0.086,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,7,71.28,38.8,20,0.11,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,8,71.28,38.8,19,0.075,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,9,71.28,38.8,21,0.099,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,10,71.28,38.8,21,0.097,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,11,71.48,38.8,27,0.208,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,12,71.48,38.8,22,0.121,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,13,71.48,38.8,17,0.051,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,14,71.48,38.8,23,0.131,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,15,72.38,39.1,26,0.168,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,16,72.38,39.1,26,0.177,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,17,72.38,39.1,21,0.089,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,18,72.38,39.1,22,0.106,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,19,72.38,39.1,21,0.081,19.5,0.8,1
Low-low,Incoming,2021-07-14,9:00:00,CTmax,20,72.38,39.1,21,0.083,19.5,0.8,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,1,43.1,9.8,15,0.017,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,2,59.26,6.4,22,0.088,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,3,59.26,6.4,19,0.045,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,4,60.15,6.2,22,0.095,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,5,60.15,6.2,25,0.123,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,6,60.53,6.1,20,0.05,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,7,60.53,6.1,18,0.06,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,8,60.53,6.1,22,0.081,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,9,60.53,6.1,16,0.028,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,10,61.44,6,20,0.062,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,11,61.44,6,20,0.066,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,12,61.44,6,20,0.039,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,13,61.44,6,18,0.129,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,14,62.12,5.9,23,0.067,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,15,62.12,5.9,19,0.083,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,16,62.18,5.9,20,0.071,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,17,62.34,5.8,20,0.128,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,18,62.45,5.8,24,0.069,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,19,63.31,5.7,24,0.122,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,20,63.53,5.6,22,0.089,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,21,64.32,5.5,26,0.157,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,23,64.32,5.5,26,0.165,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,24,64.46,5.5,22,0.104,22.2,2,1
Low-low,Incoming,2021-07-14,10:00:00,CTmin,25,65.34,5.4,27,0.169,22.2,2,1
High,Incoming,2021-09-21,10:24:00,CTmin,1,na,6.2,26,0.087,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,2,na,5.3,27,0.11,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,3,na,5.3,29,0.137,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,4,na,4.9,23,0.083,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,5,na,4.5,40,0.353,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,6,na,4.5,29,0.164,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,7,na,4.4,41,0.365,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,8,na,4.3,34,0.207,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,9,na,4.3,38,0.295,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,10,na,4.3,34,0.215,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,11,na,4.3,32,0.179,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,12,na,4.3,25,0.088,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,13,na,4.2,40,0.36,na,5,2
High,Incoming,2021-09-21,10:24:00,CTmin,14,na,4.2,35,0.243,na,5,2
High,Incoming,2021-09-21,11:40:00,CTmax,1,na,37.2,35,0.238,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,2,na,37.3,35,0.237,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,3,na,37.3,38,0.354,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,4,na,37.3,33,0.185,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,5,na,37.3,37,0.28,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,6,na,37.4,32,0.165,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,7,na,37.4,33,0.217,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,8,na,37.4,33,0.184,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,9,na,37.5,44,0.482,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,10,na,37.6,36,0.23,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,11,na,37.8,38,0.235,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,12,na,37.8,36,0.233,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,13,na,37.8,35,0.231,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,14,na,37.6,38,0.313,na,4.8,2
High,Incoming,2021-09-21,11:40:00,CTmax,15,na,37.6,22,0.088,na,4.8,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,1,na,6.2,,,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,2,na,4.8,34,0.19,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,3,na,5.1,29,0.113,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,4,na,3.6,25,0.083,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,5,na,3.9,31,0.193,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,6,na,3.9,39,0.331,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,7,na,3.9,32,0.153,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,8,na,5.5,39,0.318,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,9,na,4.3,37,0.305,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,10,na,4.3,39,0.381,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,11,na,4.3,35,0.239,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,12,na,4.3,26,0.1,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,13,na,4.3,38,0.334,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,14,na,4.2,33,0.199,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,15,na,4,34,0.197,na,3.2,2
Medium,Outgoing,2021-09-21,13:03:00,CTmin,16,na,4,37,0.277,na,3.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,1,na,37.2,35,0.29,na,2.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,2,na,37.9,39,0.325,na,2.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,3,na,38,38,0.306,na,2.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,4,na,38,41,0.398,na,2.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,5,na,37.9,27,0.102,na,2.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,6,na,37.9,34,,na,2.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,7,na,38,,,na,2.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,8,na,38,,,na,2.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,10,na,38.3,40,0.348,na,2.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,11,na,38.3,34,0.244,na,2.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,12,na,38.3,36,0.258,na,2.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,13,na,38.5,34,0.215,na,2.2,2
High,Incoming,2021-09-21,14:00:00,CTmax,14,na,38.9,26,0.1,na,2.2,2
High,Incoming,2021-09-22,11:22:00,CTmin,1,na,7.7,38,0.305,na,5,2
High,Incoming,2021-09-22,11:22:00,CTmin,2,na,6.9,37,0.261,na,5,2
High,Incoming,2021-09-22,11:22:00,CTmin,3,na,6.8,29,0.149,na,5,2
High,Incoming,2021-09-22,11:22:00,CTmin,4,na,6.5,23,0.069,na,5,2
High,Incoming,2021-09-22,11:22:00,CTmin,5,na,6.6,35,0.202,na,5,2
High,Incoming,2021-09-22,11:22:00,CTmin,6,na,6.6,30,0.156,na,5,2
High,Incoming,2021-09-22,11:22:00,CTmin,7,na,6.6,34,0.222,na,5,2
High,Incoming,2021-09-22,11:22:00,CTmin,8,na,6.3,29,0.133,na,5,2
High,Incoming,2021-09-22,11:22:00,CTmin,9,na,6.3,31,0.195,na,5,2
High,Incoming,2021-09-22,11:22:00,CTmin,10,na,6.3,34,0.257,na,5,2
High,Incoming,2021-09-22,11:22:00,CTmin,11,na,6.3,37,0.284,na,5,2
High,Incoming,2021-09-22,11:22:00,CTmin,12,na,6.3,29,0.134,na,5,2
High,Incoming,2021-09-22,11:22:00,CTmin,13,na,6.1,34,0.196,na,5,2
High,Incoming,2021-09-22,12:36:00,CTmax,1,na,38,40,0.328,na,4.6,2
High,Incoming,2021-09-22,12:36:00,CTmax,2,na,38,36,0.247,na,4.6,2
High,Incoming,2021-09-22,12:36:00,CTmax,3,na,38.2,37,0.274,na,4.6,2
High,Incoming,2021-09-22,12:36:00,CTmax,4,na,38.2,40,0.395,na,4.6,2
High,Incoming,2021-09-22,12:36:00,CTmax,5,na,38.2,37,0.256,na,4.6,2
High,Incoming,2021-09-22,12:36:00,CTmax,6,na,38.4,27,0.107,na,4.6,2
High,Incoming,2021-09-22,12:36:00,CTmax,7,na,38.4,31,0.158,na,4.6,2
High,Incoming,2021-09-22,12:36:00,CTmax,8,na,38.7,26,0.099,na,4.6,2
High,Incoming,2021-09-22,12:36:00,CTmax,9,na,38.5,41,0.374,na,4.6,2
High,Incoming,2021-09-22,12:36:00,CTmax,10,na,38.6,40,0.334,na,4.6,2
High,Incoming,2021-09-22,12:36:00,CTmax,11,na,39,41,0.369,na,4.6,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,1,na,4.8,28,0.123,na,2.5,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,2,na,4.8,34,0.211,na,2.5,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,3,na,4.8,39,0.369,na,2.5,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,4,na,4.5,36,0.282,na,2.5,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,5,na,4.5,34,0.228,na,2.5,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,6,na,4.5,33,0.205,na,2.5,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,7,na,4.6,39,0.313,na,2.5,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,8,na,4.6,33,0.216,na,2.5,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,9,na,4.6,35,0.239,na,2.5,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,10,na,4.6,36,0.269,na,2.5,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,11,na,4.4,34,0.245,na,2.5,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,12,na,4.4,31,0.156,na,2.5,2
Medium,Outgoing,2021-09-22,14:31:00,CTmin,13,na,4.4,38,0.412,na,2.5,2
Low,Outgoing,2021-09-22,16:25:00,CTmax,1,na,35.8,31,0.17,na,1,2
Low,Outgoing,2021-09-22,16:25:00,CTmax,2,na,36.1,22,0.059,na,1,2
Low,Outgoing,2021-09-22,16:25:00,CTmax,3,na,36.2,29,0.141,na,1,2
Low,Outgoing,2021-09-22,16:25:00,CTmax,4,na,36.2,34,0.22,na,1,2
Low,Outgoing,2021-09-22,16:25:00,CTmax,5,na,36.5,38,0.335,na,1,2
Low,Outgoing,2021-09-22,16:25:00,CTmax,6,na,36.5,38,0.332,na,1,2
Low,Outgoing,2021-09-22,16:25:00,CTmax,7,na,36.8,37,0.301,na,1,2
Low,Outgoing,2021-09-22,16:25:00,CTmax,8,na,36.8,37,0.276,na,1,2
Low,Outgoing,2021-09-22,16:25:00,CTmax,9,na,36.8,37,0.257,na,1,2
Low,Outgoing,2021-09-22,16:25:00,CTmax,10,na,36.8,24,0.096,na,1,2
Low,Outgoing,2021-09-22,16:25:00,CTmax,11,na,36.9,26,0.097,na,1,2
Low,Outgoing,2021-09-22,16:25:00,CTmax,12,na,36.9,33,0.295,na,1,2