Date,TimeDay,TL_mm,mass_mg,Order_fish_flip,tank,temp_tolerance,Test,Tide,Tide2,Phys.cond,treatment,temp_treatment
11/12/22,8:00 AM,37,213,1,2,33.83,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,37,410,2,16,37.16,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,41,325,3,2,38.39,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,39,282,4,2,38.24,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,43,475,5,2,38.32,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,38,250,6,4,38.5,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,43,533,7,2,38.53,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,35,147,8,4,38.59,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,35,227,9,4,38.57,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,30,151,10,4,38.39,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,40,288,11,4,38.65,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,30,142,12,16,38.33,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,37,212,13,16,38.4,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,36,233,14,16,38.6,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,40,307,15,10,38.72,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,42,397,16,16,39.24,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,31,175,17,1,39.52,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,39,290,18,1,39.52,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,32,149,19,1,39.52,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,40,369,20,1,39.53,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,35,202,21,1,39.53,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,35,250,22,10,39.53,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,5:30 PM,41,314,1,4,9.8,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,37,278,2,1,7.25,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,37,284,3,1,7.19,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,36,253,4,1,6.99,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,38,290,5,16,6.77,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,33,191,6,16,6.72,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,40,356,7,1,6.64,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,36,235,8,16,6.61,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,35,197,9,16,6.52,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,38,329,10,2,6.23,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,32,175,11,1,6.22,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,27,99,12,10,6.1,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,36,249,13,2,6.07,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,34,166,14,16,5.99,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,23,193,15,2,5.81,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,27,107,16,10,5.77,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,38,235,17,4,5.75,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,35,202,18,4,5.55,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,39,243,19,2,5.41,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,40,286,20,4,5.27,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,42,429,21,4,5.21,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,39,264,22,2,5.11,CTmin,Outgoing,High,NOTFED,V1,V1
11/13/22,7:30 AM,42,306,1,12,31.14,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,39,223,2,17,34.36,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,33,161,3,5,35.81,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,35,203,4,17,35.96,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,36,214,5,9,36.52,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,37,216,6,12,36.78,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,32,141,7,15,39.85,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,39,302,8,9,36.97,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,38,281,9,17,37.1,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,34,236,10,15,37.38,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,35,228,11,17,37.58,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,39,283,12,5,37.65,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,38,301,13,15,37.72,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,35,168,14,17,37.84,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,37,290,15,9,37.91,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,32,148,16,9,37.93,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,39,278,17,7,38.05,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,42,411,18,7,38.06,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,32,173,19,12,38.2,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,41,340,20,7,38.26,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,38,247,21,9,38.27,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,32,142,22,12,38.32,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,42,386,23,7,38.43,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,32,233,24,15,38.44,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,35,202,25,12,38.5,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,32,174,26,12,38.54,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,32,170,27,5,38.59,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,36,217,28,7,38.64,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,10:15 AM,41,315,1,3,32.15,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,33,166,2,13,32.17,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,35,225,3,3,32.89,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,31,171,4,3,33.08,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,36,199,5,8,33.42,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,39,327,6,3,34.16,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,39,344,7,13,34.14,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,36,251,8,8,34.32,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,35,193,9,3,34.58,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,33,206,10,13,34.58,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,37,212,11,8,34.71,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,27,122,12,3,34.83,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,34,200,13,13,34.78,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,26,61,14,8,34.98,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,28,156,15,8,35.22,CTmax,Incoming,High,NOTFED,COLD,12
11/14/22,7:45 AM,37,217,1,11,33.61,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,35,201,2,11,34.22,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,40,311,3,18,34.52,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,33,172,4,11,34.58,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,,,5,6,34.64,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,33,135,6,6,34.75,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,39,277,7,18,34.84,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,33,159,8,18,35.3,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,30,145,9,18,35.41,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,34,160,10,11,35.52,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,40,270,11,11,35.62,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,43,395,12,18,35.72,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,42,424,13,6,35.87,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,39,310,14,6,35.87,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,32,155,15,6,36.01,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,5:00 PM,31,157,1,18,3.23,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,39,325,2,11,3.13,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,38,276,3,11,3.07,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,42,340,4,6,3.11,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,38,276,5,11,2.91,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,41,387,6,18,2.84,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,36,270,7,6,2.82,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,37,323,8,18,2.91,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,40,311,9,18,2.81,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,38,282,10,18,2.84,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,39,387,11,6,2.79,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,35,227,12,11,2.72,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,39,274,13,6,2.75,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,38,305,14,11,2.75,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,37,285,15,6,2.81,CTmin,Outgoing,High,NOTFED,LOW,17
11/25/22,8:00 PM,36,172,1,15,10.98,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,36,201,2,15,10.15,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,37,235,3,12,9.97,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,33,215,4,15,8.55,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,40,310,5,5,6.73,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,38,262,6,7,5.4,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,43,450,7,17,5.35,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,29,126,8,5,5.33,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,42,342,9,15,5.11,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,36,248,10,7,5.07,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,34,221,11,17,5.07,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,34,194,12,12,4.97,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,43,406,13,17,4.91,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,32,179,14,7,5.05,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,34,153,15,7,5.03,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,28,106,16,12,4.8,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,43,388,17,12,4.8,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,42,370,18,17,4.66,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,40,315,19,12,4.51,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,40,335,20,15,4.39,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,32,159,21,9,4.39,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,39,322,22,5,4.15,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,42,364,23,5,4.15,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,39,298,24,9,4.15,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,37,266,25,9,4.13,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,35,248,26,7,4.07,CTmin,Outgoing,Low,NOTFED,V2,V2
11/25/22,8:00 PM,36,222,27,9,3.62,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,36,222,28,17,3.6,CTmin,Outgoing,Low,NOTFED,MED,22
11/25/22,8:00 PM,26,116,29,9,3.59,CTmin,Outgoing,Low,NOTFED,MED,22
11/29/22,3:00 PM,38,336,1,13,3.37,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,32,146,2,8,2.46,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,37,267,3,13,2.43,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,38,238,4,13,2.35,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,36,191,5,8,1.96,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,32,131,6,13,1.93,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,31,133,7,13,1.46,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,38,314,8,13,1.63,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,36,246,9,13,1.6,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,37,214,10,13,1.6,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,37,227,11,13,1.44,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,26,79,13,13,1.48,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,37,274,14,8,1.34,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,37,287,15,13,1.26,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,38,284,16,3,1.15,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,35,200,17,13,1.16,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,30,127,18,3,1.09,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,37,251,19,13,1.1,CTmin,Outgoing,High,NOTFED,COLD,12
11/29/22,3:00 PM,39,288,20,3,0.92,CTmin,Outgoing,High,NOTFED,COLD,12
11/13/22,5:00 PM,38,357,1,8,2.08,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,36,264,2,8,1.68,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,40,379,3,3,1.93,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,41,349,4,3,1.92,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,37,260,5,13,1.9,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,32,185,6,3,1.98,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,33,182,7,13,1.87,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,30,147,8,13,1.87,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,29,170,9,13,1.82,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,33,243,10,8,1.91,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,37,276,11,3,1.84,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,43,415,12,8,1.81,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,39,334,13,8,1.69,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,35,228,14,3,1.99,CTmin,Outgoing,High,FED,COLD,12
11/13/22,5:00 PM,32,152,15,13,1.93,CTmin,Outgoing,High,FED,COLD,12
11/13/22,4:30 PM,41,340,1,17,8.43,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,35,222,2,7,8.32,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,37,256,3,7,6.52,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,40,324,4,15,5.98,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,33,195,5,12,5.8,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,37,235,6,9,5.75,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,28,115,7,17,5.73,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,38,261,8,15,5.47,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,37,386,9,15,5.08,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,32,226,10,15,5.08,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,40,357,11,12,4.95,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,31,195,12,12,4.74,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,37,255,13,9,4.59,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,38,275,14,9,4.59,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,43,427,15,9,4.58,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,44,492,16,17,4.73,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,36,231,17,15,4.72,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,35,250,18,17,4.54,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,41,368,19,12,4.47,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,38,259,20,7,4.47,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,41,354,21,7,4.41,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,36,411,22,5,4.42,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,43,450,23,5,4.31,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,36,1.6,24,7,4.22,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,35,173,25,12,4.21,CTmin,Outgoing,High,FED,V2,V2
11/13/22,4:30 PM,40,336,26,5,4.08,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,35,224,27,17,4.04,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,35,210,28,5,4.1,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,33,255,29,5,4.07,CTmin,Outgoing,High,FED,MED,22
11/13/22,4:30 PM,30,115,30,9,4.06,CTmin,Outgoing,High,FED,MED,22